"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Santa Terezinha Airport,Santa Terezinha,Brazil,,STZ,SWST,-10.4647216796875,-50.518611907958984,663,5944,,-4.0,S,,airport,OurAirports,7374,,,,America/Campo_Grande
Minaçu Airport,Minacu,Brazil,,MQH,SBMC,-13.5491,-48.195301,1401,5945,,-3.0,S,,airport,OurAirports,7375,,,,America/Sao_Paulo
Araguaína Airport,Araguaina,Brazil,,AUX,SWGN,-7.22787,-48.240501,771,5946,,-3.0,S,,airport,OurAirports,7376,,,,America/Fortaleza
Novo Aripuanã Airport,Novo Aripuana,Brazil,,NVP,SWNA,-5.118030071258545,-60.364898681640625,118,5947,,-4.0,S,,airport,OurAirports,7377,,,,America/Boa_Vista
Fazenda Colen Airport,Lucas do Rio Verde,Brazil,,"",SWFE,-13.314443588256836,-56.11277770996094,1345,5948,,-4.0,S,,airport,OurAirports,7378,,,,America/Campo_Grande
Tenente Lund Pressoto Airport,Franca,Brazil,,FRC,SIMK,-20.592199,-47.3829,3292,5949,,-3.0,S,,airport,OurAirports,7379,,,,America/Sao_Paulo
Dourados Airport,Dourados,Brazil,,DOU,SSDO,-22.2019,-54.926601,1503,5950,,-4.0,S,,airport,OurAirports,7380,,,,America/Campo_Grande
Lábrea Airport,Labrea,Brazil,,LBR,SWLB,-7.278969764709473,-64.76950073242188,190,5951,,-4.0,S,,airport,OurAirports,7381,,,,America/Boa_Vista
Maestro Marinho Franco Airport,Rondonopolis,Brazil,,ROO,SWRD,-16.586,-54.7248,1467,5952,,-4.0,S,,airport,OurAirports,7382,,,,America/Campo_Grande
Tancredo Thomas de Faria Airport,Guarapuava,Brazil,,GPB,SBGU,-25.3875007629,-51.520198822,3494,5953,,-3.0,S,,airport,OurAirports,7383,,,,America/Sao_Paulo
Santa Terezinha Airport,Joacaba,Brazil,,JCB,SSJA,-27.1714000702,-51.5532989502,2546,5954,,-3.0,S,,airport,OurAirports,7384,,,,America/Sao_Paulo
North Philadelphia Amtrak Station,Philadelphia,United States,,"","",39.9969556,-75.1487722,1,5955,,-5.0,A,,station,User,7385,,,,America/New_York
Aberdeen Railway Station,Aberdeen,United Kingdom,,"","",57.1436,-2.0985,1,5956,,0.0,U,,station,User,7386,,,,Europe/London
Glasgow Railway Station,Glasgow,United Kingdom,,"","",55.8622,-4.2512,0,5957,,0.0,U,,station,User,7387,,,,Europe/London
Edinburgh Waverly Station,Edinburgh,United Kingdom,,ZXE,"",55.952,-3.189,0,5958,,0.0,U,,station,User,7388,,,,Europe/London
Newcastle Railway Station,Newcastle Upon Tyne,United Kingdom,,"","",54.9686,-1.6171,0,5959,,0.0,U,,station,User,7389,,,,Europe/London
Leeds Railway Station,Leeds,United Kingdom,,"","",53.794,-1.547,0,5960,,0.0,U,,station,User,7390,,,,Europe/London
Manchester Picadilly Station,Manchester,United Kingdom,,"","",53.477,-2.23,0,5961,,0.0,U,,station,User,7391,,,,Europe/London
Liverpool Railway Station,Liverpool,United Kingdom,,"","",53.405,-2.979,0,5962,,0.0,U,,station,User,7392,,,,Europe/London
London Euston Railway Station,London,United Kingdom,,"","",51.5284,-0.1331,0,5963,,0.0,U,,station,User,7393,,,,Europe/London
General Leite de Castro Airport,Rio Verde,Brazil,,RVD,SWLC,-17.8347225189209,-50.956111907958984,2464,5964,,-3.0,S,,airport,OurAirports,7394,,,,America/Sao_Paulo
Romeu Zema Airport,Araxa,Brazil,,AAX,SBAX,-19.563199996948,-46.960399627686,3276,5965,,-3.0,S,,airport,OurAirports,7395,,,,America/Sao_Paulo
Maués Airport,Maues,Brazil,,MBZ,SWMW,-3.37217,-57.7248,69,5966,,-4.0,S,,airport,OurAirports,7396,,,,America/Boa_Vista
Borba Airport,Borba,Brazil,,RBB,SWBR,-4.4063401222229,-59.60240173339844,293,5967,,-4.0,S,,airport,OurAirports,7397,,,,America/Boa_Vista
Coari Airport,Coari,Brazil,,CIZ,SWKO,-4.134059906005859,-63.132598876953125,131,5968,,-4.0,S,,airport,OurAirports,7398,,,,America/Boa_Vista
Barcelos Airport,Barcelos,Brazil,,BAZ,SWBC,-0.981292,-62.919601,112,5969,,-4.0,S,,airport,OurAirports,7399,,,,America/Boa_Vista
Herbert Glacier,Juneau,United States,,"","",58.571385,-134.607754,0,5970,,-9.0,A,,unknown,User,7400,,,,America/Anchorage
Seattle Cruise Terminal,Seattle,United States,,"","",47.615884,-122.330017,0,5971,,-8.0,A,,unknown,User,7401,,,,America/Los_Angeles
Juneau Cruise Pier,Juneau,United States,,"","",58.335451,-134.414978,0,5972,,-9.0,A,,unknown,User,7402,,,,America/Anchorage
Skagway Cruise Pier,Skagway,United States,,"","",59.470896,-135.31723,0,5973,,-9.0,A,,unknown,User,7403,,,,America/Anchorage
Ketchikan Cruise Pier,Ketchikan ,United States,,"","",55.346327,-131.644707,0,5974,,-9.0,A,,unknown,User,7404,,,,America/Anchorage
Victoria Cruise Pier,Victoria,Canada,,"","",48.429144,-123.367023,0,5975,,-8.0,A,,unknown,User,7405,,,,America/Vancouver
Diamantino Airport,Diamantino,Brazil,,DMT,SWDM,-14.376899719238281,-56.40039825439453,1476,5976,,-4.0,S,,airport,OurAirports,7406,,,,America/Campo_Grande
Guanambi Airport,Guanambi,Brazil,,GNM,SNGI,-14.208200454711914,-42.74610137939453,1815,5977,,-3.0,S,,airport,OurAirports,7407,,,,America/Fortaleza
Tsletsi Airport,Djelfa,Algeria,,QDJ,DAFI,34.6657,3.351,3753,5978,,1.0,U,,airport,OurAirports,7408,,,,Africa/Algiers
Nzagi Airport,Nzagi,Angola,,NZA,FNZG,-7.716939926149999,21.358200073200003,2431,5979,,1.0,U,,airport,OurAirports,7409,,,,Africa/Luanda
Catoca Airport,Catoca,Angola,,"","",-9.433017,20.311189,500,5980,,1.0,U,,airport,User,7410,,,,Africa/Luanda
Lucapa Airport,Lucapa,Angola,,LBZ,FNLK,-8.445727348330001,20.7320861816,3029,5981,,1.0,U,,airport,OurAirports,7411,,,,Africa/Luanda
Capanda Airport,Kapanda,Angola,,KNP,FNCP,-9.76937007904,15.4553194046,3366,5982,,1.0,U,,airport,OurAirports,7412,,,,Africa/Luanda
